POS(x)	x	P_MLE(x|POS(x))	P_Laplace(x|POS(x))	P_MLE(POS(x)|x)	P_Laplace(x|POS(x))
NNP	November	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
VB	give	0.006607929515418502	0.008	0.6	0.0008661758336942399
VB	lift	0.004405286343612335	0.006	1.0	0.0006500541711809318
VBD	balked	0.0014858841010401188	0.0027816411682892906	1.0	0.00043346337234503684
NNP	Norman	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
VB	remain	0.011013215859030838	0.012	1.0	0.00129926375054136
JJ	gloomy	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
VBN	caught	0.004901960784313725	0.006607929515418502	1.0	0.0006500541711809318
NNP	Latour	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
NNP	Farren	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
NNP	Dodge	0.001999000499750125	0.002442598925256473	1.0	0.0010829542993285683
NNP	Gates	0.0009995002498750624	0.0014655593551538837	1.0	0.0006500541711809318
PRP$	their	0.1907514450867052	0.1552511415525114	1.0	0.007318123116659492
RB	enormously	0.0017730496453900709	0.003278688524590164	1.0	0.00043346337234503684
VBZ	returns	0.002183406113537118	0.003968253968253968	1.0	0.00043346337234503684
NNP	Montedison	0.0009995002498750624	0.0014655593551538837	0.6666666666666666	0.0006499133448873484
JJS	worst	0.024390243902439025	0.022988505747126436	1.0	0.00043346337234503684
VBN	held	0.007352941176470588	0.00881057268722467	1.0	0.0008665511265164644
CD	5.5	0.001834862385321101	0.00338409475465313	1.0	0.00043346337234503684
NN	cost	0.0011838989739542227	0.0015503875968992248	0.75	0.0008663634394628547
JJ	federal	0.002425222312045271	0.003117692907248636	1.0	0.0008665511265164644
NN	sympathy	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
RB	certainly	0.0017730496453900709	0.003278688524590164	1.0	0.00043346337234503684
NN	image	0.0007892659826361484	0.0011627906976744186	1.0	0.0006500541711809318
NN	manufacturing	0.0007892659826361484	0.0011627906976744186	0.6666666666666666	0.0006499133448873484
NNP	Turkey	0.0009995002498750624	0.0014655593551538837	1.0	0.0006500541711809318
NNP	Bass	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
RP	off	0.1	0.0660377358490566	0.6	0.0015141682889898333
VBN	scrapped	0.0024509803921568627	0.004405286343612335	1.0	0.00043346337234503684
NNP	Tourism	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
NNP	Illuminating	0.0014992503748125937	0.0019540791402051783	1.0	0.0008665511265164644
NN	achievement	0.0007892659826361484	0.0011627906976744186	1.0	0.0006500541711809318
CD	98.3	0.001834862385321101	0.00338409475465313	1.0	0.00043346337234503684
VBG	receiving	0.0035842293906810036	0.006153846153846154	1.0	0.00043346337234503684
NN	death	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
JJ	specific	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
JJ	Basic	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
VBD	surged	0.0014858841010401188	0.0027816411682892906	0.5	0.0004333694474539545
VBG	recognizing	0.0035842293906810036	0.006153846153846154	1.0	0.00043346337234503684
CD	83.4	0.001834862385321101	0.00338409475465313	1.0	0.00043346337234503684
JJ	fierce	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
JJ	prying	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
JJ	cop-killer	0.002425222312045271	0.003117692907248636	1.0	0.0008665511265164644
VBG	boarding	0.0035842293906810036	0.006153846153846154	1.0	0.00043346337234503684
NNP	News	0.001999000499750125	0.002442598925256473	1.0	0.0010829542993285683
JJ	good-natured	0.0008084074373484236	0.001558846453624318	1.0	0.00043346337234503684
NN	company	0.014206787687450671	0.01434108527131783	1.0	0.007958700795870079
NN	portfolio	0.0015785319652722968	0.001937984496124031	1.0	0.0010829542993285683
RB	seriously	0.0035460992907801418	0.004918032786885246	1.0	0.0006500541711809318
VBZ	knows	0.004366812227074236	0.005952380952380952	1.0	0.0006500541711809318
NN	flow	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
NNP	Steel	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
NN	figure	0.0007892659826361484	0.0011627906976744186	1.0	0.0006500541711809318
VBN	lifted	0.0024509803921568627	0.004405286343612335	1.0	0.00043346337234503684
NN	precedent	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
NN	injury	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
NN	mirror	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
NN	sake	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
VBZ	reaches	0.002183406113537118	0.003968253968253968	1.0	0.00043346337234503684
JJR	lesser	0.01694915254237288	0.01904761904761905	1.0	0.00043346337234503684
NNP	Texas	0.0014992503748125937	0.0019540791402051783	1.0	0.0008665511265164644
NNP	Plan	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
RB	Separately	0.0017730496453900709	0.003278688524590164	1.0	0.00043346337234503684
VBD	adapted	0.0014858841010401188	0.0027816411682892906	1.0	0.00043346337234503684
NNP	Circuit	0.0004997501249375312	0.0009770395701025891	1.0	0.00043346337234503684
NN	heartland	0.0003946329913180742	0.0007751937984496124	1.0	0.00043346337234503684
