POS(x)	P_Laplace(POS(x))
NNP	0.07657002983247915
VBD	0.02577832173181366
-RRB-	0.0005737015222213723
VBG	0.010709095081465616
$	0.004130650959993881
RP	0.0023330528570335808
NNS	0.0458196282414136
``	0.006042989367398455
MD	0.005431041077028991
RBR	0.001568117494071751
NN	0.09695555725541191
</s>	0.03063566128662128
JJ	0.04734949896733726
VBN	0.015642928172569417
NNPS	0.0008796756674061041
,	0.03545475407328081
RBS	0.0002677273770366404
JJS	0.0016063642622198425
EX	0.0006119482903694638
.	0.030673908054769373
:	0.004245391264438155
FW	0.00011474030444427445
''	0.005966495831102272
-LRB-	0.0005737015222213723
VB	0.017402279507381626
DT	0.06329840128509141
PRP$	0.006654937657767919
JJR	0.002294806088885489
WP$	0.00015298707259236595
CD	0.02088273540885795
WDT	0.0025625334659221295
RB	0.02160942400367169
<s>	0.03063566128662128
WRB	0.0013768836533312935
WP	0.002180065784441215
PDT	0.00015298707259236595
CC	0.01675208444886407
PRP	0.014036563910349575
-NONE-	0.04937657767918611
VBZ	0.017555266579973992
UH	7.649353629618297e-05
IN	0.07622580891914633
TO	0.015528187868125144
POS	0.006999158571100742
VBP	0.009599938805170963
