POS(x)	POS(y)	P_MLE(POS(y)|POS(x))
-NONE-	VB	0.010852713178294573
CC	:	0.002288329519450801
:	NNS	0.045454545454545456
CD	VBN	0.001834862385321101
VBN	RBR	0.0024509803921568627
POS	NNS	0.13736263736263737
NN	VB	0.0003946329913180742
JJ	VBN	0.004042037186742118
RP	PRP$	0.08333333333333333
JJ	-NONE-	0.016168148746968473
VB	CD	0.01762114537444934
VBG	CC	0.017921146953405017
VBP	TO	0.008
VB	VBN	0.08370044052863436
VBP	NNS	0.028
NNS	NNS	0.005847953216374269
NNP	,	0.1294352823588206
VBZ	VBN	0.15938864628820962
``	VBD	0.006369426751592357
RB	IN	0.12943262411347517
NNPS	VBP	0.13636363636363635
RP	DT	0.3
``	VBN	0.006369426751592357
,	WDT	0.020518358531317494
:	PRP	0.02727272727272727
NNP	VB	0.0009995002498750624
CC	VB	0.032036613272311214
,	VBZ	0.029157667386609073
WP	RB	0.017857142857142856
VBP	JJR	0.004
-NONE-	NNP	0.046511627906976744
NNP	MD	0.010494752623688156
WRB	NNP	0.05714285714285714
,	RB	0.05939524838012959
VBD	TO	0.022288261515601784
,	VBN	0.02159827213822894
VB	PRP$	0.048458149779735685
WP	NN	0.017857142857142856
VBP	-NONE-	0.148
-NONE-	NNS	0.006201550387596899
-NONE-	DT	0.04806201550387597
.	``	0.0012484394506866417
CD	NNP	0.012844036697247707
VBN	-NONE-	0.6176470588235294
RP	RB	0.03333333333333333
CD	JJR	0.001834862385321101
,	JJS	0.0010799136069114472
RB	VBZ	0.04964539007092199
CC	CD	0.018306636155606407
IN	NN	0.10843373493975904
NN	MD	0.014601420678768745
WP$	NN	0.3333333333333333
WRB	RB	0.02857142857142857
NNP	:	0.0069965017491254375
POS	VBN	0.005494505494505495
<s>	WRB	0.005
,	''	0.06371490280777538
RBR	VB	0.025
''	VBD	0.05161290322580645
VBG	NNS	0.0967741935483871
IN	JJS	0.0050200803212851405
RBR	WRB	0.025
VBN	IN	0.06372549019607843
VBZ	NN	0.028384279475982533
-NONE-	WRB	0.0015503875968992248
TO	PRP$	0.019753086419753086
<s>	VBG	0.00375
RBR	-NONE-	0.025
NNPS	IN	0.13636363636363635
VBN	JJR	0.0024509803921568627
VB	TO	0.01762114537444934
VBP	RB	0.112
''	CC	0.025806451612903226
VBN	.	0.0024509803921568627
RB	NNS	0.008865248226950355
POS	CD	0.01098901098901099
VB	.	0.015418502202643172
DT	CC	0.0006045949214026602
NNS	CC	0.06098579782790309
<s>	PRP	0.07875
-NONE-	RP	0.003875968992248062
VBD	JJ	0.06092124814264487
WP	NNS	0.017857142857142856
CD	IN	0.05321100917431193
DT	PRP	0.0012091898428053204
PRP$	-LRB-	0.005780346820809248
,	TO	0.0032397408207343412
NNS	VBG	0.007518796992481203
CD	DT	0.003669724770642202
.	-RRB-	0.0024968789013732834
''	</s>	0.3032258064516129
TO	NNP	0.05925925925925926
-RRB-	IN	0.14285714285714285
NN	-NONE-	0.043409629044988164
<s>	JJR	0.00875
.	''	0.06491885143570537
VBG	NN	0.15412186379928317
-NONE-	TO	0.175968992248062
VBZ	WRB	0.002183406113537118
TO	NNS	0.027160493827160494
POS	``	0.016483516483516484
-RRB-	.	0.21428571428571427
NNS	RB	0.02756892230576441
JJR	TO	0.05084745762711865
JJ	NN	0.4510913500404204
``	MD	0.012738853503184714
RB	VB	0.06914893617021277
JJ	$	0.002425222312045271
''	-NONE-	0.0064516129032258064
PRP$	JJS	0.023121387283236993
CC	JJ	0.10755148741418764
RP	TO	0.016666666666666666
-RRB-	NN	0.14285714285714285
DT	WP	0.0012091898428053204
DT	-NONE-	0.0018137847642079807
VB	RP	0.04185022026431718
NN	NN	0.1148382004735596
,	``	0.012958963282937365
JJR	DT	0.03389830508474576
VBN	NNS	0.03431372549019608
NNS	PRP$	0.000835421888053467
VBP	DT	0.104
RB	VBN	0.0673758865248227
NNP	WDT	0.0004997501249375312
``	NN	0.09554140127388536
,	VB	0.0021598272138228943
PRP	RB	0.0546448087431694
NNP	VBZ	0.04897551224387806
''	WDT	0.025806451612903226
TO	PRP	0.007407407407407408
VBZ	NNS	0.013100436681222707
IN	-NONE-	0.030120481927710843
<s>	EX	0.00375
PRP	VBD	0.31693989071038253
NNS	RBR	0.001670843776106934
VB	''	0.0022026431718061676
NN	``	0.0027624309392265192
NNS	DT	0.00835421888053467
JJ	IN	0.05739692805173808
VBD	NN	0.041604754829123326
VBD	NNS	0.022288261515601784
PRP	VBG	0.00819672131147541
VBZ	VB	0.002183406113537118
WRB	PRP	0.2571428571428571
WP	PRP	0.05357142857142857
-NONE-	VBD	0.03565891472868217
RB	WRB	0.0017730496453900709
NNP	VBP	0.00399800099950025
RBR	VBN	0.05
VBZ	VBZ	0.002183406113537118
JJ	NNP	0.029911075181891674
VBZ	-NONE-	0.21615720524017468
,	CC	0.06371490280777538
-LRB-	IN	0.21428571428571427
DT	RBS	0.0024183796856106408
POS	NN	0.42857142857142855
POS	-RRB-	0.005494505494505495
CD	VBD	0.009174311926605505
VBG	-NONE-	0.07526881720430108
:	NN	0.02727272727272727
-NONE-	RB	0.018604651162790697
PRP	IN	0.03278688524590164
,	IN	0.06803455723542116
JJR	NN	0.2542372881355932
FW	NN	0.5
JJS	JJ	0.12195121951219512
DT	.	0.0018137847642079807
:	.	0.01818181818181818
NN	VBP	0.004735595895816891
VBP	VBG	0.092
IN	RBR	0.001004016064257028
VBN	RB	0.022058823529411766
RB	JJR	0.008865248226950355
<s>	JJ	0.035
NNS	-LRB-	0.003341687552213868
DT	RB	0.009068923821039904
VBN	JJ	0.03676470588235294
PRP	JJ	0.01092896174863388
JJR	,	0.03389830508474576
,	$	0.004319654427645789
NNP	-NONE-	0.00399800099950025
IN	PRP$	0.035140562248995984
``	IN	0.044585987261146494
-NONE-	-RRB-	0.003875968992248062
VBZ	CD	0.017467248908296942
JJR	IN	0.3220338983050847
-NONE-	VBG	0.07286821705426356
-NONE-	''	0.0007751937984496124
``	PRP$	0.012738853503184714
WRB	NNS	0.08571428571428572
-NONE-	PRP	0.05426356589147287
WP	VBZ	0.017857142857142856
IN	VBG	0.0030120481927710845
NNP	JJR	0.0004997501249375312
NNS	IN	0.2673350041771094
JJS	CC	0.024390243902439025
DT	VBN	0.006650544135429262
NN	PRP$	0.0007892659826361484
PRP	.	0.02459016393442623
CD	VBG	0.005504587155963303
CD	JJ	0.044036697247706424
VBP	,	0.008
-LRB-	NNP	0.35714285714285715
VBG	PRP	0.021505376344086023
VBG	NNP	0.03942652329749104
-NONE-	VBP	0.02558139534883721
NN	WDT	0.006314127861089187
,	DT	0.17062634989200864
<s>	JJS	0.00125
NNP	PRP	0.0009995002498750624
-LRB-	DT	0.14285714285714285
EX	VBZ	0.6
JJS	NNS	0.1951219512195122
CD	RB	0.001834862385321101
VBG	JJ	0.06810035842293907
:	WP	0.01818181818181818
EX	VBD	0.13333333333333333
RB	RB	0.08156028368794327
,	VBP	0.0064794816414686825
RBR	DT	0.025
CC	VBG	0.029748283752860413
VBZ	PDT	0.002183406113537118
NN	RB	0.01578531965272297
</s>	<s>	0.99875
VBP	NN	0.028
NNP	CC	0.03798100949525238
TO	RB	0.007407407407407408
VB	IN	0.0881057268722467
CC	VBD	0.06178489702517163
RP	``	0.016666666666666666
WRB	VBZ	0.02857142857142857
VB	$	0.011013215859030838
NNS	-NONE-	0.036758563074352546
NN	VBN	0.008287292817679558
VB	DT	0.24008810572687225
-RRB-	,	0.2857142857142857
JJ	,	0.03637833468067906
VBN	TO	0.012254901960784314
NNS	WRB	0.002506265664160401
VBD	WRB	0.0029717682020802376
DT	RBR	0.003022974607013301
IN	VBD	0.000502008032128514
WDT	VBZ	0.015151515151515152
JJ	PRP	0.0008084074373484236
,	NN	0.056155507559395246
-NONE-	``	0.0015503875968992248
-LRB-	$	0.14285714285714285
WDT	VBD	0.015151515151515152
NN	CD	0.0027624309392265192
NN	CC	0.03867403314917127
PRP$	JJ	0.23121387283236994
PRP	PRP	0.00273224043715847
VBN	PRP$	0.014705882352941176
WP	-NONE-	0.7857142857142857
,	RBS	0.0010799136069114472
DT	NNS	0.07920193470374849
WRB	IN	0.05714285714285714
NNP	$	0.0004997501249375312
``	WRB	0.012738853503184714
PRP	TO	0.030054644808743168
JJ	''	0.002425222312045271
RB	NNP	0.0017730496453900709
<s>	WP	0.005
VB	,	0.00881057268722467
CC	VBZ	0.018306636155606407
PRP	CC	0.00819672131147541
-NONE-	JJ	0.017054263565891473
PRP$	``	0.005780346820809248
PRP	VBP	0.13387978142076504
PRP	,	0.02459016393442623
VBD	RBR	0.004457652303120356
NNS	JJ	0.02172096908939014
NNP	CD	0.012993503248375811
VB	NNP	0.04405286343612335
VBG	``	0.0035842293906810036
RP	-NONE-	0.1
JJ	:	0.005658852061438965
JJ	WRB	0.0016168148746968471
RB	PRP	0.0035460992907801418
RBS	IN	0.16666666666666666
IN	WDT	0.0025100401606425703
RP	IN	0.16666666666666666
DT	MD	0.0012091898428053204
CD	-NONE-	0.2
''	-LRB-	0.025806451612903226
NNS	MD	0.020885547201336674
CD	VBZ	0.003669724770642202
VBZ	RB	0.12008733624454149
RP	JJ	0.05
RB	TO	0.015957446808510637
DT	-LRB-	0.0006045949214026602
NN	-RRB-	0.0007892659826361484
``	NNS	0.03184713375796178
-NONE-	VBZ	0.03255813953488372
,	NNP	0.11879049676025918
VB	JJR	0.006607929515418502
-LRB-	VBN	0.07142857142857142
JJ	CC	0.02021018593371059
VBZ	VBG	0.056768558951965066
VBG	CD	0.017921146953405017
-NONE-	$	0.0015503875968992248
RB	DT	0.06914893617021277
-NONE-	CC	0.008527131782945736
-NONE-	,	0.043410852713178294
CC	,	0.013729977116704805
CC	VBP	0.02288329519450801
NN	RP	0.0003946329913180742
VBD	VBG	0.017830609212481426
PRP	VBZ	0.20218579234972678
NN	IN	0.23954222573007103
DT	DT	0.003022974607013301
VB	VB	0.0022026431718061676
DT	VBD	0.0012091898428053204
NNP	VBD	0.06646676661669165
NNS	,	0.11862990810359231
``	CC	0.006369426751592357
<s>	NNP	0.175
JJR	NNS	0.15254237288135594
NNP	RB	0.0079960019990005
.	NNP	0.0024968789013732834
CC	PRP	0.038901601830663615
RP	CC	0.016666666666666666
RP	CD	0.03333333333333333
NNS	:	0.01921470342522974
NNP	NN	0.04297851074462768
NN	WRB	0.0015785319652722968
VBG	PRP$	0.035842293906810034
NNP	DT	0.0024987506246876563
DT	TO	0.0006045949214026602
,	PRP	0.035637149028077755
CC	WDT	0.002288329519450801
RB	MD	0.01773049645390071
IN	PRP	0.0286144578313253
TO	JJ	0.027160493827160494
POS	.	0.01098901098901099
VBN	CD	0.004901960784313725
VBD	CD	0.02674591381872214
VBP	WRB	0.004
:	CC	0.045454545454545456
VBD	IN	0.11589895988112928
IN	WRB	0.0015060240963855422
VBZ	VBD	0.002183406113537118
<s>	TO	0.00125
RB	NN	0.02127659574468085
PRP	VB	0.00819672131147541
CD	WDT	0.001834862385321101
JJ	VBZ	0.0016168148746968471
,	RBR	0.0032397408207343412
JJ	JJR	0.0008084074373484236
RB	$	0.0035460992907801418
IN	,	0.001004016064257028
NN	PRP	0.0027624309392265192
''	PRP	0.05161290322580645
NN	''	0.0055248618784530384
NN	NNS	0.0824782951854775
JJS	VBP	0.024390243902439025
-NONE-	RBR	0.0031007751937984496
VBD	RB	0.07280832095096583
PRP	-NONE-	0.03551912568306011
DT	CD	0.020556227327690448
VBP	NNP	0.028
VBZ	RP	0.010917030567685589
RB	,	0.08865248226950355
RB	RBR	0.005319148936170213
VBD	-NONE-	0.2600297176820208
<s>	-NONE-	0.01875
VBP	PRP$	0.004
CD	NNS	0.1706422018348624
VBD	RP	0.022288261515601784
VBD	UH	0.0014858841010401188
:	VBZ	0.00909090909090909
IN	NNS	0.0642570281124498
NNS	VBN	0.022556390977443608
NNP	NNS	0.020989505247376312
NNPS	,	0.045454545454545456
RP	NNS	0.03333333333333333
``	-NONE-	0.03821656050955414
-NONE-	RBS	0.0007751937984496124
IN	NNP	0.1706827309236948
JJS	NN	0.1951219512195122
POS	NNP	0.15934065934065933
VBG	:	0.0035842293906810036
''	NN	0.04516129032258064
NNP	IN	0.04997501249375312
CC	NNS	0.06407322654462243
VBP	VBN	0.188
CC	-NONE-	0.011441647597254004
''	RB	0.012903225806451613
VB	NN	0.06387665198237885
<s>	NN	0.02375
WP	DT	0.03571428571428571
JJR	$	0.01694915254237288
NNS	WDT	0.014202172096908938
CC	WP	0.002288329519450801
VBN	NN	0.04656862745098039
VBN	VBN	0.02696078431372549
NNS	VBZ	0.00835421888053467
RB	:	0.005319148936170213
NN	VBD	0.05011838989739542
NN	JJR	0.001973164956590371
VB	RB	0.02643171806167401
RB	VBD	0.06560283687943262
.	</s>	0.9288389513108615
,	WP	0.01079913606911447
``	DT	0.17834394904458598
$	JJ	0.009345794392523364
JJS	IN	0.21951219512195122
VBZ	DT	0.12445414847161572
DT	NNP	0.12031438935912939
``	PRP	0.15286624203821655
VBZ	RBR	0.004366812227074236
VBP	JJ	0.072
RBS	JJ	0.8333333333333334
VBD	PRP$	0.019316493313521546
,	VBD	0.06587473002159827
''	VBP	0.0064516129032258064
VBP	RP	0.016
PRP$	$	0.011560693641618497
DT	VBG	0.010278113663845224
PRP	MD	0.06284153005464481
RBR	RB	0.2
JJ	DT	0.0032336297493936943
TO	RBR	0.0049382716049382715
VBZ	PRP$	0.017467248908296942
VBD	``	0.004457652303120356
IN	NNPS	0.002008032128514056
-NONE-	:	0.005426356589147287
UH	IN	1.0
``	WP	0.025477707006369428
-NONE-	NN	0.017829457364341085
DT	JJR	0.007255139056831923
JJS	CD	0.04878048780487805
IN	CD	0.06375502008032129
NNP	JJ	0.00849575212393803
TO	$	0.037037037037037035
IN	IN	0.01857429718875502
NNS	VBP	0.0810359231411863
NNS	TO	0.02172096908939014
VBG	VBN	0.021505376344086023
RB	.	0.04609929078014184
''	VBZ	0.2
CC	RB	0.06407322654462243
CC	VBN	0.02288329519450801
WP	,	0.017857142857142856
POS	JJ	0.1813186813186813
RP	NN	0.016666666666666666
NN	JJ	0.006708760852407261
VBN	:	0.004901960784313725
RB	JJ	0.09042553191489362
NN	-LRB-	0.0003946329913180742
NN	DT	0.003946329913180742
``	VBG	0.012738853503184714
CD	CD	0.15229357798165138
PRP	RBR	0.00273224043715847
VBZ	:	0.008733624454148471
<s>	DT	0.235
:	IN	0.13636363636363635
VBD	CC	0.0029717682020802376
<s>	RBR	0.00125
VBD	.	0.005943536404160475
,	VBG	0.019438444924406047
:	DT	0.12727272727272726
VBZ	NNP	0.03275109170305677
NN	RBR	0.0003946329913180742
NNS	``	0.002506265664160401
:	</s>	0.05454545454545454
NNPS	POS	0.045454545454545456
JJS	DT	0.024390243902439025
TO	IN	0.0049382716049382715
VBZ	CC	0.002183406113537118
,	-NONE-	0.03131749460043196
DT	''	0.0006045949214026602
VBP	``	0.008
<s>	PRP$	0.00875
RBR	JJ	0.25
WDT	PRP	0.045454545454545456
CC	$	0.013729977116704805
VB	CC	0.004405286343612335
-NONE-	VBN	0.01317829457364341
JJR	.	0.01694915254237288
DT	IN	0.010278113663845224
MD	VB	0.8794326241134752
WP$	JJ	0.3333333333333333
CD	TO	0.005504587155963303
<s>	WDT	0.00125
NNP	''	0.006496751624187906
<s>	RB	0.05125
NNS	NN	0.013366750208855471
RB	-NONE-	0.03900709219858156
VB	:	0.0022026431718061676
VBZ	WP	0.002183406113537118
VB	RBR	0.00881057268722467
JJ	NNPS	0.0016168148746968471
:	-NONE-	0.01818181818181818
NNPS	.	0.13636363636363635
-RRB-	VBD	0.07142857142857142
,	MD	0.008639308855291577
JJR	JJ	0.05084745762711865
POS	WP	0.005494505494505495
PRP	RP	0.00546448087431694
TO	NN	0.02962962962962963
:	RB	0.02727272727272727
IN	VBN	0.0025100401606425703
NNS	.	0.11445279866332497
''	WRB	0.0064516129032258064
RB	VBP	0.03546099290780142
CC	TO	0.002288329519450801
-NONE-	MD	0.005426356589147287
VBG	.	0.021505376344086023
WDT	DT	0.030303030303030304
JJ	VBG	0.002425222312045271
NNP	POS	0.0544727636181909
MD	RB	0.10638297872340426
EX	MD	0.13333333333333333
``	RB	0.06369426751592357
VBN	NNP	0.012254901960784314
PRP	NNP	0.00819672131147541
NNP	WP	0.0009995002498750624
VB	VBG	0.00881057268722467
VB	JJ	0.08149779735682819
VBN	$	0.0024509803921568627
``	VBZ	0.006369426751592357
NN	VBG	0.0055248618784530384
CC	IN	0.034324942791762014
FW	VBZ	0.5
<s>	CC	0.055
RBR	,	0.025
NNS	POS	0.013366750208855471
VBG	IN	0.10752688172043011
CC	DT	0.09839816933638444
PRP$	NNS	0.19653179190751446
:	WDT	0.00909090909090909
NN	NNP	0.008681925808997633
,	WRB	0.0064794816414686825
NNS	-RRB-	0.000835421888053467
VBG	DT	0.15770609318996415
